questionAudioKey,collision,distinctVisibleQuestions,files
q_which_is_wet,false,Islak olan hangisi?,src\services\database\activities\qualities\wetDryData.ts
q_which_is_dry,false,Kuru olan hangisi?,src\services\database\activities\qualities\wetDryData.ts
q_which_is_wide,false,Geniş olan hangisi?,src\services\database\activities\qualities\wideNarrowData.ts
q_which_is_narrow,false,Dar olan hangisi?,src\services\database\activities\qualities\wideNarrowData.ts
q_which_is_young,false,Genç olan hangisi?,src\services\database\activities\qualities\youngOldData.ts
q_which_is_few,false,Az olan hangisi?,src\services\database\activities\quantities\fewMuchData.ts
q_which_is_much,false,Çok olan hangisi?,src\services\database\activities\quantities\fewMuchData.ts
q_which_is_full,false,Dolu olan hangisi?,src\services\database\activities\quantities\fullEmptyData.ts
q_which_is_empty,false,Boş olan hangisi?,src\services\database\activities\quantities\fullEmptyData.ts
q_which_is_whole,false,Bütün olan hangisi?,src\services\database\activities\quantities\halfQuarterWholeData.ts
q_which_is_half,false,Yarım olan hangisi?,src\services\database\activities\quantities\halfQuarterWholeData.ts
q_which_is_quarter,false,Çeyrek olan hangisi?,src\services\database\activities\quantities\halfQuarterWholeData.ts
q_which_is_slice,false,Dilim olan hangisi?,src\services\database\activities\quantities\halfQuarterWholeData.ts
q_which_is_odd,false,Tek olan hangisi?,src\services\database\activities\quantities\oddEvenData.ts
q_which_is_even,false,Çift olan hangisi?,src\services\database\activities\quantities\oddEvenData.ts
q_which_is_different,false,Hangisi farklı?,src\services\database\activities\reasoningData.ts
q_what_hammer_nail_with,false,Çiviyi neyle çakarız?,src\services\database\activities\reasoningData.ts
q_what_brush_teeth_with,false,Dişlerimizi neyle fırçalarız?,src\services\database\activities\reasoningData.ts
q_what_after_socks,false,Çoraptan sonra ne giyeriz?,src\services\database\activities\reasoningData.ts
q_where_use_pillow,false,Yastığı nerede kullanırız?,src\services\database\activities\reasoningData.ts
q_what_eat_soup_with,false,Çorbayı ne ile içeriz?,src\services\database\activities\reasoningData.ts
q_what_color_picture_with,false,Resmi ne ile boyarız?,src\services\database\activities\reasoningData.ts
q_what_write_paper_with,false,Kağıda ne ile yazarız?,src\services\database\activities\reasoningData.ts
q_what_open_door_with,false,Kapıyı ne ile açarız?,src\services\database\activities\reasoningData.ts
q_what_eat_pasta_with,false,Makarnayı ne ile yeriz?,src\services\database\activities\reasoningData.ts
q_where_put_money,false,Parayı nereye koyarız?,src\services\database\activities\reasoningData.ts
q_what_is_the_result,false,Bunun sonucu ne olur?,src\services\database\activities\reasoningData.ts
q_what_is_the_cause,false,Bunun nedeni ne olabilir?,src\services\database\activities\reasoningData.ts
q_what_is_needed_to_be_clean,false,Temiz olmak için ne gerekir?,src\services\database\activities\reasoningData.ts
q_what_if_you_drop_this,false,Bunu düşürürsen ne olur?,src\services\database\activities\reasoningData.ts
q_what_do_you_wear_when_this_happens,false,Bu olduğunda ne giyersin?,src\services\database\activities\reasoningData.ts
<missing>,false,,src\services\database\activities\reasoningData.ts
q_what_is_next,false,Sıradaki hangisi?,src\services\database\activities\reasoningData.ts
q_place_the_missing,false,Eksik olanı yerleştir.,src\services\database\activities\reasoningData.ts
q_put_3_apples,false,Sepete 3 elma koy.,src\services\database\activities\reasoningData.ts
q_put_5_balls,false,Kutuya 5 top koy.,src\services\database\activities\reasoningData.ts
q_put_4_fish,false,Akvaryuma 4 balık koy.,src\services\database\activities\reasoningData.ts
q_put_2_cookies,false,Tabağa 2 kurabiye koy.,src\services\database\activities\reasoningData.ts
q_put_ball_in_box,false,Topu kutunun içine koy.,src\services\database\activities\reasoningData.ts
q_put_book_on_table,false,Kitabı masanın üstüne koy.,src\services\database\activities\reasoningData.ts
q_which_faces_left,false,Sola bakan hangisi?,src\services\database\activities\spatialData.ts
q_which_faces_right,false,Sağa bakan hangisi?,src\services\database\activities\spatialData.ts
q_which_is_on,true,"Bulutun üstünde olan hangisi? | Kafanın üstünde olan hangisi? | Masanın üstünde olan hangisi? | Merdivenin üstünde olan hangisi? | Pastanın üstünde olan hangisi? | Sandalyenin üstünde olan hangisi? | Yatağın üstünde olan hangisi?",src\services\database\activities\spatialData.ts
q_which_is_under,true,"Bulutun altında olan hangisi? | Masanın altında olan hangisi? | Merdivenin altında olan hangisi? | Pastanın altında olan hangisi? | Sandalyenin altında olan hangisi? | Yatağın altında olan hangisi?",src\services\database\activities\spatialData.ts
q_which_is_above,false,Yukarıda olan hangisi?,src\services\database\activities\spatialData.ts
q_which_is_below,false,Aşağıda olan hangisi?,src\services\database\activities\spatialData.ts
q_which_are_beside,true,"Yan yana duranlar hangisi? | Yan yana olanlar hangisi?",src\services\database\activities\spatialData.ts
q_which_are_opposite,true,"Karşılıklı duranlar hangisi? | Karşılıklı olanlar hangisi?",src\services\database\activities\spatialData.ts
q_which_is_in_front,true,"Ağacın önündeki hangisi? | Evin önündeki hangisi? | Hangi kalkan askerin önünde? | Kapının önündeki hangisi? | Kulübenin önündeki hangisi? | Sandalyenin önündeki hangisi?",src\services\database\activities\spatialData.ts
q_which_is_behind,true,"Ağacın arkasındaki hangisi? | Evin arkasındaki hangisi? | Hangi kalkan askerin arkasında? | Kapının arkasındaki hangisi? | Kulübenin arkasındaki hangisi? | Sandalyenin arkasındaki hangisi?",src\services\database\activities\spatialData.ts
q_which_is_inside,true,"Kalemliğin içindeki hangisi? | Kulübenin içindeki hangisi? | Otobüsün içindeki hangisi? | Sepetin içindeki hangisi? | Çadırın içindeki hangisi?",src\services\database\activities\spatialData.ts
q_which_is_outside,true,"Kalemliğin dışındaki hangisi? | Kulübenin dışındaki hangisi? | Otobüsün dışındaki hangisi? | Sepetin dışındaki hangisi? | Çadırın dışındaki hangisi?",src\services\database\activities\spatialData.ts
q_which_is_between,true,"Annesiyle babasının arasında olan hangisi? | Binaların arasında olan hangisi? | Blokların arasında olan hangisi? | Ekmeklerin arasında olan hangisi?",src\services\database\activities\spatialData.ts
q_which_is_near,true,"Hangi adam daha yakın? | Hangi ay daha yakın? | Hangi ev daha yakın? | Hangi gemi daha yakın? | Hangi kuşlar daha yakın? | Hangi uçak daha yakın?",src\services\database\activities\spatialData.ts
q_which_is_far,true,"Hangi adam daha uzak? | Hangi ay daha uzak? | Hangi ev daha uzak? | Hangi gemi daha uzak? | Hangi kuşlar daha uzak? | Hangi uçak daha uzak?",src\services\database\activities\spatialData.ts
q_which_is_higher,true,"Hangi bina daha yüksek? | Hangi dolap daha yüksek? | Hangi yer daha yüksek? | Hangisi daha yüksek? | Yukarıda olan hangisi? | Üst raftaki hangisi? | Üstte olan hangisi?",src\services\database\activities\spatialData.ts
q_which_is_lower,true,"Alt raftaki hangisi? | Altta olan hangisi? | Aşağıda olan hangisi? | Hangi bina daha alçak? | Hangi dolap daha alçak? | Hangi yer daha alçak? | Hangisi daha alçak?",src\services\database\activities\spatialData.ts
q_which_is_before,false,Önce hangisi olur?,src\services\database\activities\temporalData.ts
q_which_is_after,false,Sonra hangisi olur?,src\services\database\activities\temporalData.ts
q_which_is_day,false,Gündüz olan hangisi?,src\services\database\activities\temporalData.ts
q_which_is_night,false,Gece olan hangisi?,src\services\database\activities\temporalData.ts
q_which_is_fast,false,Hızlı olan hangisi?,src\services\database\activities\temporalData.ts
q_which_is_slow,false,Yavaş olan hangisi?,src\services\database\activities\temporalData.ts
